TIMESTAMP,mm,m/s,MWat/m2,cm,%,?C,Kpa,
TimeStamp,Rainfall,Wind speed,Shortwave Incomming Radiation,Piezo water level depth,Relative humidity,Air Temperature,VPD,
6/19/11 00:00,0,0.332,0.444015,1.578,61.54,20.47209,0.088387155,
6/19/11 01:00,0,0.265,0.573705,1.5935,63,20.1644,0.083438261,
6/19/11 02:00,0,0.634,0.38703,1.5775,68.73,19.02913,0.065736388,
6/19/11 03:00,0,0.723,0.3962,1.577,77.03,17.41641,0.04365834,
6/19/11 04:00,0,0.748,0.78658,1.5565,79.7,16.73737,0.036966361,
6/19/11 05:00,0,1.303,0.216075,1.56,84.5,15.31563,0.025786135,
6/19/11 06:00,0,1.181,0.336595,1.579,90.6,14.20158,0.014558419,
6/19/11 07:00,0,1.269,0.561915,1.545,89.5,14.58354,0.016667034,
6/19/11 08:00,0,1.025,0.03071,1.5725,91.1,14.66842,0.014204586,
6/19/11 09:00,0,0.79,0.19708,1.561,77.58,19.30499,0.047945294,
6/19/11 10:00,0,1.294,0.53113,1.5555,68.7,22.01054,0.079015862,
6/19/11 11:00,0,2.508,0.61235,1.533,60.55,24.20681,0.113662686,
6/19/11 12:00,0,2.643,1.106875,1.488,54.79,25.84075,0.143511905,
6/19/11 13:00,0,3.727,1.02631,1.591,47.46,27.73994,0.186382231,
6/19/11 14:00,0,3.227,0.90317,1.567,41.81,29.8195,0.232711432,
6/19/11 15:00,0,3.366,1.12718,1.6,42.21,31.24124,0.250578912,
6/19/11 16:00,0,2.693,1.31582,1.5885,41.38,32.37651,0.270966587,
6/19/11 17:00,0,2.189,1.125215,1.585,38.79,33.80886,0.306482214,
6/19/11 18:00,0,0.567,1.311235,1.608,37.49,34.62583,0.327466306,
6/19/11 19:00,0,0.513,1.207745,1.578,37.78,34.82742,0.329589717,
6/19/11 20:00,0,0.849,1.28962,1.58,36.36,34.78498,0.336324346,
6/19/11 21:00,0,0.324,1.30403,1.572,37.49,34.15899,0.319125605,
6/19/11 22:00,0,0.412,0.593355,1.5895,41.16,32.21736,0.269564475,
6/19/11 23:00,0,0.983,0.185945,1.553,50.43,28.14312,0.18000709,
6/20/11 00:00,0,1.248,0.340525,1.558,57.66,25.35269,0.130583728,
6/20/11 01:00,0,1.244,0.10538,1.5965,63.94,23.27313,0.098245449,
6/20/11 02:00,0,0.878,0.159745,1.5895,66.81,22.67897,0.087246825,
6/20/11 03:00,0,0.424,0.11193,1.606,73.1,21.4376,0.065582504,
6/20/11 04:00,0,0.647,0.0949,1.595,73.45,20.87527,0.062543344,
6/20/11 05:00,0,0.559,0.116515,1.6075,75.81,20.32355,0.055087323,
6/20/11 06:00,0,0.248,0.3045,1.5725,80.6,19.40048,0.041733149,
6/20/11 07:00,0,0.261,0.22852,1.581,85,18.65778,0.030813345,
6/20/11 08:00,0,0.193,0,1.583,85.5,19.92037,0.032210775,
6/20/11 09:00,0,0.378,0.005165,1.574,72.52,24.45084,0.080335238,
6/20/11 10:00,0,0.265,0.476765,1.5765,62.33,27.72933,0.133549532,
6/20/11 11:00,0,1.416,0.60449,1.629,54.59,30.62586,0.190145942,
6/20/11 12:00,0,1.912,0.709945,1.542,49.89,32.2598,0.23011742,
6/20/11 13:00,0,1.87,1.312545,1.5925,46.67,33.68154,0.265145251,
6/20/11 14:00,0,2,1.90139,1.5675,46.72,34.44546,0.276348268,
6/20/11 15:00,0,2.332,2.07169,1.6775,45.78,34.97596,0.289570912,
6/20/11 16:00,0,1.723,2.34286,1.667,43.15,35.8672,0.318826712,
6/20/11 17:00,0,2.252,2.24854,1.6155,42.87,36.37648,0.329424998,
6/20/11 18:00,0,1.676,2.313385,1.65,41.39,36.42953,0.338936653,
6/20/11 19:00,0,1.723,2.35465,1.6245,42.33,36.36587,0.332346664,
6/20/11 20:00,0,1.361,2.153565,1.642,39.4,36.25977,0.347218897,
6/20/11 21:00,0,1.403,2.02977,1.648,43.5,35.27304,0.306715485,
6/20/11 22:00,0,0.857,1.469745,1.633,50.67,33.04494,0.236715412,
6/20/11 23:00,0,0.311,0.87173,1.63,57.87,30.19085,0.172096013,
6/21/11 00:00,0,0.311,0.695535,1.6055,61.31,28.45081,0.14302088,
6/21/11 01:00,0,0.387,0.51279,1.6215,68.75,26.54101,0.103366318,
6/21/11 02:00,0,0.445,0.885485,1.633,74.86,25.18293,0.076760792,
6/21/11 03:00,0,0.55,0.757105,1.617,79.21,24.24925,0.060051672,
6/21/11 04:00,0,0.403,0.332665,1.6175,86.2,22.19091,0.03522084,
6/21/11 05:00,0,0.828,0.28616,1.635,93.3,19.9522,0.014912843,
6/21/11 06:00,0,1.227,0.349695,1.644,97.1,19.01852,0.006092419,
6/21/11 07:00,0,1.601,0.257995,1.652,98.7,18.44558,0.002635398,
6/21/11 08:00,0,0.803,0.120445,1.629,97.1,19.62329,0.006325058,
6/21/11 09:00,0,1.055,0.70929,1.628,90,22.84873,0.026557724,
6/21/11 10:00,0,2.008,0.61366,1.6285,78.67,25.83014,0.067666342,
6/21/11 11:00,0,2.42,0.664095,1.6475,65.17,28.41898,0.128515458,
6/21/11 12:00,0,2.223,0.774135,1.638,47.71,30.96538,0.223215797,
6/21/11 13:00,0,2.546,1.00011,1.685,41.49,32.66298,0.274835164,
6/21/11 14:00,0,2.227,1.3001,1.639,37.64,33.83008,0.312608291,
6/21/11 15:00,0,2.475,1.598125,1.6215,35.28,34.8062,0.342432076,
6/21/11 16:00,0,2.895,2.034355,1.6965,34.19,35.28365,0.357463857,
6/21/11 17:00,0,3.445,2.33107,1.8195,30.75,35.67622,0.384332184,
6/21/11 18:00,0,4.004,2.27998,1.6975,32.94,35.63378,0.371314044,
6/21/11 19:00,0,4.29,2.30618,1.671,34.59,36.05818,0.37068007,
6/21/11 20:00,0,4.025,2.16863,1.6695,33,35.3367,0.364988942,
6/21/11 21:00,0,3.134,2.48827,1.6925,38.72,34.32875,0.315798408,
6/21/11 22:00,0,0.866,1.792005,1.6645,41.59,31.68686,0.259723182,
6/21/11 23:00,0,0.374,1.24246,1.6565,43.47,29.00253,0.215722547,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
