Unit,cm3cm2h-1,cm3cm2h-1,cm3h-1,cm3h-1
Date time,Cienciala Qi,SapNN Qi,Cienciala Qi,SapNN Qi
9/1/11 0:00,-0.01,-0.07,-0.02,-0.26
9/1/11 1:00,0.00,-0.14,-0.01,-0.46
9/1/11 2:00,-0.01,0.17,-0.02,0.60
9/1/11 3:00,0.00,0.36,0.00,1.25
9/1/11 4:00,-0.01,-0.07,-0.02,-0.26
9/1/11 5:00,0.00,-0.14,-0.01,-0.46
9/1/11 6:00,-0.01,0.17,-0.02,0.60
9/1/11 7:00,0.00,0.36,0.00,1.25
9/1/11 8:00,0.00,0.43,-0.01,1.47
9/1/11 9:00,0.00,0.27,0.00,0.92
9/1/11 10:00,0.00,0.30,0.00,1.01
9/1/11 11:00,0.00,0.29,-0.01,0.99
9/1/11 12:00,0.00,0.29,-0.01,1.00
9/1/11 13:00,0.08,0.39,0.26,1.34
9/1/11 14:00,0.50,0.92,1.72,3.13
9/1/11 15:00,0.92,0.82,3.15,2.82
9/1/11 16:00,1.25,1.35,4.28,4.62
9/1/11 17:00,2.02,3.05,6.92,10.43
9/1/11 18:00,1.11,1.55,3.79,5.29
9/1/11 19:00,1.08,1.62,3.68,5.54
9/1/11 20:00,0.60,1.12,2.05,3.82
9/1/11 21:00,0.53,0.48,1.82,1.65
9/1/11 22:00,0.42,0.60,1.43,2.06
9/1/11 23:00,0.18,0.48,0.62,1.65
9/2/11 0:00,0.09,0.50,0.29,1.72
9/2/11 1:00,0.02,1.09,0.07,3.74
9/2/11 2:00,0.00,1.14,-0.01,3.88
9/2/11 3:00,0.00,0.31,-0.01,1.06
9/2/11 4:00,0.00,0.21,0.00,0.71
9/2/11 5:00,0.00,0.21,-0.01,0.73
9/2/11 6:00,-0.01,0.43,-0.02,1.47
9/2/11 7:00,0.00,1.16,-0.02,3.97
9/2/11 8:00,-0.01,0.83,-0.03,2.85
9/2/11 9:00,-0.01,1.06,-0.03,3.63
9/2/11 10:00,-0.01,1.34,-0.03,4.60
9/2/11 11:00,-0.01,1.39,-0.03,4.75
9/2/11 12:00,0.00,1.40,0.00,4.78
9/2/11 13:00,0.19,1.71,0.66,5.84
9/2/11 14:00,0.96,2.57,3.27,8.80
9/2/11 15:00,1.98,2.33,6.76,7.98
9/2/11 16:00,2.33,2.13,7.96,7.27
9/2/11 17:00,2.50,2.01,8.57,6.88
9/2/11 18:00,2.86,2.23,9.80,7.63
9/2/11 19:00,3.19,2.74,10.92,9.39
9/2/11 20:00,0.61,0.32,2.08,1.10
9/2/11 21:00,0.28,0.20,0.95,0.70
9/2/11 22:00,0.93,-0.08,3.19,-0.26
9/2/11 23:00,0.54,-0.06,1.85,-0.22
9/3/11 0:00,0.21,0.09,0.72,0.32
9/3/11 1:00,0.06,0.25,0.22,0.84
9/3/11 2:00,-0.01,0.29,-0.04,0.98
9/3/11 3:00,-0.01,0.50,-0.04,1.73
9/3/11 4:00,-0.01,0.84,-0.03,2.86
9/3/11 5:00,-0.01,1.08,-0.02,3.70
9/3/11 6:00,0.00,1.13,-0.02,3.87
9/3/11 7:00,-0.01,1.04,-0.02,3.57
9/3/11 8:00,-0.01,1.27,-0.02,4.33
9/3/11 9:00,0.00,0.62,0.00,2.13
9/3/11 10:00,0.00,0.14,0.00,0.47
9/3/11 11:00,0.00,0.20,0.00,0.67
9/3/11 12:00,0.00,0.72,0.01,2.45
9/3/11 13:00,0.08,0.47,0.27,1.62
9/3/11 14:00,0.28,1.03,0.95,3.51
9/3/11 15:00,0.36,0.54,1.23,1.86
9/3/11 16:00,0.59,1.16,2.01,3.97
9/3/11 17:00,1.01,0.69,3.44,2.34
9/3/11 18:00,1.66,1.76,5.68,6.03
9/3/11 19:00,1.79,2.30,6.13,7.86
9/3/11 20:00,2.16,3.54,7.40,12.12
9/3/11 21:00,2.64,3.87,9.04,13.23
9/3/11 22:00,2.10,2.94,7.18,10.07
9/3/11 23:00,1.28,2.37,4.38,8.11
9/4/11 0:00,0.84,2.11,2.88,7.21
9/4/11 1:00,0.21,1.60,0.72,5.48
9/4/11 2:00,-0.01,0.32,-0.04,1.10
9/4/11 3:00,-0.01,0.37,-0.03,1.27
9/4/11 4:00,-0.01,0.68,-0.02,2.32
9/4/11 5:00,-0.01,0.28,-0.02,0.96
9/4/11 6:00,-0.01,0.26,-0.03,0.90
9/4/11 7:00,-0.01,0.84,-0.02,2.89
9/4/11 8:00,0.00,0.75,-0.01,2.55
9/4/11 9:00,0.00,0.80,-0.01,2.75
9/4/11 10:00,-0.01,0.25,-0.02,0.87
9/4/11 11:00,0.00,0.87,-0.01,2.97
9/4/11 12:00,0.00,0.70,0.00,2.40
