,kPa,kPa,kPa,%vol,%vol,%vol,%vol,%vol,%vol,%vol,%vol,%vol,%vol,%vol,%vol
DateTime,Water potential (1.30 from tree),,,Soil Mositure (1m from tree),,,,Soil Mositure (3m from tree),,,,Soil Mositure (8m from tree),,,
DateTime,25 cm,50 cm,75 cm,25 cm,50 cm,75 cm,100cm,25 cm,50 cm,75 cm,100cm,25 cm,50 cm,75 cm,100cm
01/09/2011 00:00,3.51,4.35,4.95,11.43%,9.15%,8.52%,8.55%,8.03%,10.36%,4.45%,14.45%,7.94%,12.03%,13.25%,13.24%
01/09/2011 01:00,3.5,4.34,4.94,11.40%,9.15%,8.61%,8.64%,7.97%,10.28%,4.51%,14.38%,8.11%,12.03%,13.41%,13.24%
01/09/2011 02:00,3.51,4.35,4.95,11.43%,9.15%,8.62%,8.59%,8.07%,10.32%,4.39%,14.38%,7.94%,12.00%,13.49%,13.24%
01/09/2011 03:00,3.51,4.35,4.94,11.40%,9.15%,8.65%,8.64%,8.11%,10.56%,4.52%,14.38%,8.01%,12.03%,13.33%,13.24%
01/09/2011 04:00,3.51,4.34,4.93,11.58%,9.11%,8.73%,8.64%,8.29%,10.44%,4.51%,14.38%,8.08%,12.03%,13.30%,13.24%
01/09/2011 05:00,3.51,4.34,4.93,11.63%,9.15%,8.52%,8.59%,8.01%,10.28%,4.52%,14.38%,7.86%,12.03%,13.49%,13.24%
01/09/2011 06:00,3.51,4.34,4.93,11.45%,9.15%,8.65%,8.55%,7.96%,10.37%,4.40%,14.38%,7.84%,12.03%,13.25%,13.24%
01/09/2011 07:00,3.5,4.34,4.93,11.41%,9.15%,8.65%,8.55%,8.15%,10.28%,4.52%,14.38%,7.91%,12.03%,13.43%,13.24%
01/09/2011 08:00,3.5,4.34,4.93,11.44%,9.15%,8.66%,8.74%,8.14%,10.61%,4.26%,14.38%,7.94%,12.03%,13.27%,13.24%
01/09/2011 09:00,3.5,4.34,4.93,11.27%,9.15%,8.70%,8.87%,8.01%,10.50%,4.27%,14.38%,7.94%,12.00%,13.49%,13.24%
01/09/2011 10:00,3.51,4.35,4.94,11.30%,9.15%,8.57%,8.63%,7.94%,10.36%,4.38%,14.38%,7.89%,12.03%,13.41%,13.24%
01/09/2011 11:00,3.5,4.34,4.94,11.33%,9.15%,8.56%,8.74%,8.17%,10.45%,4.45%,14.38%,7.58%,12.03%,13.41%,13.24%
01/09/2011 12:00,3.51,4.36,4.96,11.43%,9.15%,8.65%,8.63%,8.00%,10.33%,4.56%,14.38%,7.94%,11.95%,13.30%,13.24%
01/09/2011 13:00,3.5,4.35,4.96,11.29%,9.15%,8.58%,8.55%,8.17%,10.58%,4.45%,14.38%,7.69%,12.07%,13.30%,13.24%
01/09/2011 14:00,3.5,4.36,4.97,11.45%,9.15%,8.48%,8.59%,8.21%,10.41%,4.39%,14.38%,7.87%,11.89%,13.30%,13.24%
01/09/2011 15:00,3.5,4.36,4.97,11.46%,9.15%,8.58%,8.55%,8.39%,10.36%,4.52%,14.38%,7.87%,11.84%,13.17%,13.24%
01/09/2011 16:00,3.5,4.36,4.96,11.26%,9.15%,8.56%,8.63%,8.12%,10.53%,4.39%,14.38%,8.01%,11.84%,13.17%,13.24%
01/09/2011 17:00,3.5,4.35,4.96,11.39%,9.19%,8.35%,8.68%,8.04%,10.56%,4.39%,14.38%,7.86%,11.84%,13.17%,13.24%
01/09/2011 18:00,3.5,4.35,4.95,11.51%,9.29%,8.65%,8.68%,7.94%,10.28%,4.33%,14.38%,7.94%,11.87%,13.17%,13.24%
01/09/2011 19:00,3.5,4.35,4.94,11.33%,9.15%,8.57%,8.63%,8.32%,10.44%,4.52%,14.38%,7.86%,11.93%,13.22%,13.24%
01/09/2011 20:00,3.5,4.34,4.93,11.44%,9.15%,8.65%,8.68%,7.95%,10.40%,4.52%,14.38%,7.94%,11.94%,13.25%,13.24%
01/09/2011 21:00,3.5,4.34,4.93,11.34%,9.10%,8.47%,8.64%,8.06%,10.28%,4.45%,14.38%,7.90%,12.00%,13.33%,13.24%
01/09/2011 22:00,3.51,4.35,4.94,11.34%,9.19%,8.65%,8.55%,8.10%,10.53%,4.46%,14.38%,7.94%,11.96%,13.34%,13.24%
01/09/2011 23:00,3.5,4.33,4.93,11.38%,9.34%,8.65%,8.64%,8.08%,10.36%,4.44%,14.38%,8.01%,11.96%,13.40%,13.24%
02/09/2011 00:00,3.5,4.34,4.93,11.49%,9.10%,8.62%,8.92%,8.00%,10.53%,4.46%,14.38%,8.05%,11.96%,13.23%,13.24%
02/09/2011 01:00,3.51,4.35,4.94,11.26%,9.15%,8.70%,8.92%,8.04%,10.49%,4.46%,14.38%,7.85%,11.96%,13.38%,13.24%
02/09/2011 02:00,3.5,4.34,4.93,11.59%,9.19%,8.61%,8.64%,8.04%,10.40%,4.51%,14.38%,7.80%,11.97%,13.40%,13.24%
02/09/2011 03:00,3.5,4.33,4.93,11.29%,9.06%,8.65%,8.64%,8.08%,10.52%,4.52%,14.38%,7.80%,12.00%,13.43%,13.24%
02/09/2011 04:00,3.5,4.34,4.93,11.39%,9.19%,8.52%,8.64%,8.17%,10.36%,4.45%,14.38%,7.88%,12.04%,13.47%,13.24%
02/09/2011 05:00,3.5,4.34,4.93,11.35%,9.29%,8.58%,8.83%,8.16%,10.36%,4.46%,14.38%,7.97%,12.04%,13.34%,13.24%
02/09/2011 06:00,3.51,4.34,4.94,11.38%,9.19%,8.57%,8.92%,7.96%,10.28%,4.46%,14.38%,7.78%,12.08%,13.47%,13.24%
02/09/2011 07:00,3.51,4.35,4.94,11.41%,9.31%,8.36%,8.74%,8.00%,10.36%,4.52%,14.38%,7.75%,11.97%,13.47%,13.24%
02/09/2011 08:00,3.51,4.34,4.94,11.23%,9.15%,8.62%,8.74%,8.13%,10.44%,4.40%,14.38%,7.89%,12.00%,13.43%,13.24%
02/09/2011 09:00,3.5,4.34,4.94,11.32%,9.27%,8.70%,8.74%,7.95%,10.32%,4.57%,14.38%,7.99%,11.89%,13.42%,13.29%
02/09/2011 10:00,3.5,4.34,4.93,11.40%,9.31%,8.66%,8.74%,7.92%,10.28%,4.58%,14.38%,7.94%,11.98%,13.42%,13.29%
02/09/2011 11:00,3.5,4.34,4.94,11.35%,9.26%,8.65%,8.68%,8.04%,10.28%,4.68%,14.38%,7.76%,11.98%,13.30%,13.24%
02/09/2011 12:00,3.51,4.35,4.95,11.49%,9.48%,8.65%,8.59%,8.18%,10.31%,4.46%,14.38%,7.67%,11.97%,13.29%,13.44%
02/09/2011 13:00,3.5,4.35,4.95,11.46%,9.39%,8.52%,8.59%,7.80%,10.39%,4.52%,14.38%,7.71%,12.01%,13.40%,13.34%
02/09/2011 14:00,3.5,4.35,4.95,11.34%,9.31%,8.70%,8.55%,7.90%,10.25%,4.46%,14.38%,7.91%,11.98%,13.28%,13.37%
02/09/2011 15:00,3.5,4.35,4.96,11.34%,9.30%,8.53%,8.55%,7.80%,10.16%,4.46%,14.38%,7.67%,12.02%,13.28%,13.28%
